所在地,都道府県,市区町村,緯度,経度,名称,最寄り1,バス1,最寄りバス停1,徒歩1,最寄り2,バス2,最寄りバス停2,徒歩2,最寄り3,バス3,最寄りバス停3,徒歩3,建物の写真,海抜,浸水の可能性,地震時の揺れやすさ,液状化の可能性,土砂災害の可能性,避難所名,避難所距離,避難所座標,家賃,管理費,敷金,礼金,間取り,面積,間取り図
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,18.75万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/035/100361723035/100361723035_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,18.85万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/167/100361888167/100361888167_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,18.85万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/511/100363759511/100363759511_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,18.9万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,18.9万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/466/100360449466/100360449466_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,19万円,20000円,-,-,2LDK,49.27m2,https://img01.suumo.com/front/gazo/fr/bukken/469/100360449469/100360449469_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,19.2万円,20000円,-,-,2LDK,52.36m2,https://img01.suumo.com/front/gazo/fr/bukken/042/100361723042/100361723042_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,19.3万円,20000円,-,-,2LDK,52.36m2,https://img01.suumo.com/front/gazo/fr/bukken/058/100361723058/100361723058_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,21.65万円,20000円,-,-,3LDK,60.09m2,https://img01.suumo.com/front/gazo/fr/bukken/483/100363807483/100363807483_co.jpg
東京都荒川区南千住７,東京都,荒川区,139.798691,35.735664,nido南千住,ＪＲ常磐線/南千住駅,,,歩8分,京成本線/千住大橋駅,,,歩9分,都電荒川線/三ノ輪橋駅,,,歩11分,https://img01.suumo.com/front/gazo/fr/bukken/498/100357466498/100357466498_gw.jpg,0.7,3.0～5.0ｍ未満,揺れやすい,やや高い,なし,第三瑞光小学校,5.4973759,139.7987 35.735615,21.65万円,20000円,-,-,3LDK,60.09m2,https://img01.suumo.com/front/gazo/fr/bukken/004/100362541004/100362541004_co.jpg
